"field","field","field","field"
"130","Isa","23","1"
"131","Is","23","0"
"132","Jer","24","1"
"133","Je","24","0"
"134","Jr","24","0"
"135","Lam","25","1"
"136","La","25","0"
"137","Ezek","26","1"
"138","Eze","26","0"
"139","Ezk","26","0"
"140","Dan","27","1"
"141","Da","27","0"
"142","Dn","27","0"
"143","Hos","28","1"
"144","Ho","28","0"
"145","Joel","29","1"
"146","Joe","29","0"
"147","Jl","29","0"
"148","Amos","30","1"
"149","Am","30","0"
"150","Obad","31","1"
"151","Ob","31","0"
"152","Jnh","32","1"
"153","Jon","32","0"
"154","Micah","33","1"
"155","Mic","33","0"
"156","Nah","34","1"
"157","Na","34","0"
"158","Hab","35","1"
"159","Zeph","36","1"
"160","Zep","36","0"
"161","Zp","36","0"
"162","Haggai","37","1"
"163","Hag","37","0"
"164","Hg","37","0"
"165","Zech","38","1"
"166","Zec","38","0"
"167","Zc","38","0"
"168","Mal","39","1"
"169","Mal","39","0"
"170","Ml","39","0"
"171","Matt","40","1"
"172","Mt","40","0"
"173","Mrk","41","1"
"174","Mk","41","0"
"175","Mr","41","0"
"176","Luk","42","1"
"177","Lk","42","0"
"178","John","43","1"
"179","Jn","43","0"
"180","Jhn","43","0"
"181","Acts","44","1"
"182","Ac","44","0"
"183","Rom","45","1"
"184","Ro","45","0"
"185","Rm","45","0"
"186","1 Cor","46","1"
"187","1 Co","46","0"
"188","I Co","46","0"
"189","1Co","46","0"
"190","I Cor","46","0"
"191","1Cor","46","0"
"192","I Corinthians","46","0"
"193","1Corinthians","46","0"
"194","1st Corinthians","46","0"
"195","First Corinthians","46","0"
"196","2 Cor","47","1"
"197","2 Co","47","0"
"198","II Co","47","0"
"199","2Co","47","0"
"200","II Cor","47","0"
"201","2Cor","47","0"
"202","II Corinthians","47","0"
"203","2Corinthians","47","0"
"204","2nd Corinthians","47","0"
"205","Second Corinthians","47","0"
"206","Gal","48","1"
"207","Ga","48","0"
"208","Ephes","49","1"
"209","Eph","49","0"
"210","Phil","50","1"
"211","Php","50","0"
"212","Col","51","1"
"213","Col","51","0"
"214","1 Thess","52","1"
"215","1 Th","52","0"
"216","I Th","52","0"
"217","1Th","52","0"
"218","I Thes","52","0"
"219","1Thes","52","0"
"220","I Thess","52","0"
"221","1Thess","52","0"
"222","I Thessalonians","52","0"
"223","1Thessalonians","52","0"
"224","1st Thessalonians","52","0"
"225","First Thessalonians","52","0"
"226","2 Thess","53","1"
"227","2 Th","53","0"
"228","II Th","53","0"
"229","2Th","53","0"
"230","II Thes","53","0"
"231","2Thes","53","0"
"232","II Thess","53","0"
"233","2Thess","53","0"
"234","II Thessalonians","53","0"
"235","2Thessalonians","53","0"
"236","2nd Thessalonians","53","0"
"237","Second Thessalonians","53","0"
"238","1 Tim","54","1"
"239","1 Ti","54","0"
"240","I Ti","54","0"
"241","1Ti","54","0"
"242","I Tim","54","0"
"243","1Tim","54","0"
"244","I Timothy","54","0"
"245","1Timothy","54","0"
"246","1st Timothy","54","0"
"247","First Timothy","54","0"
"248","2 Tim","55","1"
"249","2 Ti","55","0"
"250","II Ti","55","0"
"251","2Ti","55","0"
"252","II Tim","55","0"
"253","2Tim","55","0"
"254","II Timothy","55","0"
"255","2Timothy","55","0"
"256","2nd Timothy","55","0"
"257","Second Timothy","55","0"
"258","Titus","56","1"
"259","Tit","56","0"
"260","Philem","57","1"
"261","Phm","57","0"
"262","Hebrews","58","1"
"263","Heb","58","0"
"264","James","59","1"
"265","Jas","59","0"
"266","Jm","59","0"
"267","1 Pet","60","1"
"268","1 Pe","60","0"
"269","I Pe","60","0"
"270","1Pe","60","0"
"271","I Pet","60","0"
"272","1Pet","60","0"
"273","I Pt","60","0"
"274","1 Pt","60","0"
"275","1Pt","60","0"
"276","I Peter","60","0"
"277","1Peter","60","0"
"278","1st Peter","60","0"
"279","First Peter","60","0"
"280","2 Pet","61","1"
"281","2 Pe","61","0"
"282","II Pe","61","0"
"283","2Pe","61","0"
"284","II Pet","61","0"
"285","2Pet","61","0"
"286","II Pt","61","0"
"287","2 Pt","61","0"
"288","2Pt","61","0"
"289","II Peter","61","0"
"290","2Peter","61","0"
"291","2nd Peter","61","0"
"292","Second Peter","61","0"
"293","1 John","62","1"
"294","1 Jn","62","0"
"295","I Jn","62","0"
"296","1Jn","62","0"
"297","I Jo","62","0"
"298","1Jo","62","0"
"299","I Joh","62","0"
"300","1Joh","62","0"
"301","I Jhn","62","0"
"302","1 Jhn","62","0"
"303","1Jhn","62","0"
"304","I John","62","0"
"305","1John","62","0"
"306","1st John","62","0"
"307","First John","62","0"
"308","2 John","63","1"
"309","2 Jn","63","0"
"310","II Jn","63","0"
"311","2Jn","63","0"
"312","II Jo","63","0"
"313","2Jo","63","0"
"314","II Joh","63","0"
"315","2Joh","63","0"
"316","II Jhn","63","0"
"317","2 Jhn","63","0"
"318","2Jhn","63","0"
"319","II John","63","0"
"320","2John","63","0"
"321","2nd John","63","0"
"322","Second John","63","0"
"323","3 John","64","1"
"324","3 Jn","64","0"
"325","III Jn","64","0"
"326","3Jn","64","0"
"327","III Jo","64","0"
"328","3Jo","64","0"
"329","III Joh","64","0"
"330","3Joh","64","0"
"331","III Jhn","64","0"
"332","3 Jhn","64","0"
"333","3Jhn","64","0"
"334","III John","64","0"
"335","3John","64","0"
"336","3rd John","64","0"
"337","Third John","64","0"
"338","Jude","65","1"
"339","Jud","65","0"
"340","Rev","66","1"
"341","Re","66","0"
"342","The Revelation","66","0"
